,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NFATC34,0.000166909237025867,0.125118791,0.163,0.144,1,COCH+ Fb,NFATC3
CCDC143,0.000173499271881145,0.10791378,0.222,0.206,1,COCH+ Fb,CCDC14
RBM173,0.00017437771035081,0.114549337,0.371,0.372,1,COCH+ Fb,RBM17
PHC34,0.000176025241921259,0.109457891,0.203,0.186,1,COCH+ Fb,PHC3
ZNF1412,0.000179386021041415,0.055641512,0.128,0.108,1,COCH+ Fb,ZNF141
RTL8A3,0.000179843071499491,0.018046101,0.236,0.292,1,COCH+ Fb,RTL8A
EAPP4,0.000180500214491245,0.147108578,0.347,0.347,1,COCH+ Fb,EAPP
GRIPAP12,0.000181373042960513,0.121341871,0.124,0.107,1,COCH+ Fb,GRIPAP1
FUBP31,0.000183516658558133,0.015015004,0.158,0.199,1,COCH+ Fb,FUBP3
CASK3,0.000183604750387649,0.153222683,0.261,0.251,1,COCH+ Fb,CASK
HDAC82,0.000185182972722438,0.012287248,0.08,0.107,1,COCH+ Fb,HDAC8
CBFA2T21,0.000187423925408612,0.082262597,0.117,0.099,1,COCH+ Fb,CBFA2T2
PIGP4,0.00018916037848798,0.018301594,0.186,0.234,1,COCH+ Fb,PIGP
RUFY24,0.000193546046852857,0.148094752,0.205,0.19,1,COCH+ Fb,RUFY2
CCL24,0.000193612858509817,0.066157209,0.35,0.318,1,COCH+ Fb,CCL2
STAG13,0.000195344886553977,0.183756522,0.298,0.295,1,COCH+ Fb,STAG1
LRRC75A3,0.000197147496086591,0.092275084,0.202,0.181,1,COCH+ Fb,LRRC75A
SMC1A4,0.000200062113350621,0.178279469,0.25,0.24,1,COCH+ Fb,SMC1A
TDRD3,0.000200742922271938,0.142555192,0.181,0.164,1,COCH+ Fb,TDRD3
NKD23,0.000202141723888145,0.04530552,0.129,0.107,1,COCH+ Fb,NKD2
ATP9B2,0.000204146545802236,0.099090982,0.125,0.106,1,COCH+ Fb,ATP9B
EGR13,0.000204430552299622,0.02724745,0.632,0.612,1,COCH+ Fb,EGR1
GTF3C42,0.000210738362990782,0.12834022,0.152,0.135,1,COCH+ Fb,GTF3C4
SF3B32,0.000211832100416464,0.010621136,0.136,0.172,1,COCH+ Fb,SF3B3
VPS26B3,0.000213090973688553,0.024967861,0.148,0.188,1,COCH+ Fb,VPS26B
FAM204A3,0.000214659582840505,0.090424685,0.411,0.419,1,COCH+ Fb,FAM204A
LMNA4,0.000214668818836742,0.011096742,0.92,0.87,1,COCH+ Fb,LMNA
MKKS3,0.00021503231085646,0.013166537,0.079,0.105,1,COCH+ Fb,MKKS
NKIRAS22,0.000218002363619296,0.016356104,0.145,0.184,1,COCH+ Fb,NKIRAS2
IDE1,0.000218608190089273,0.012476562,0.082,0.109,1,COCH+ Fb,IDE
SHOC24,0.000219976670238439,0.018326041,0.232,0.285,1,COCH+ Fb,SHOC2
AAK14,0.000220482555440818,0.043514332,0.29,0.352,1,COCH+ Fb,AAK1
SLC25A53,0.000224303390424179,0.052313102,0.595,0.585,1,COCH+ Fb,SLC25A5
ACTL6A5,0.000224531009841672,0.022104989,0.16,0.203,1,COCH+ Fb,ACTL6A
TRIM233,0.000226443181033731,0.11082533,0.146,0.129,1,COCH+ Fb,TRIM23
TGFBR15,0.000227008548760623,0.165121049,0.284,0.274,1,COCH+ Fb,TGFBR1
SNX15,0.000227940038081214,0.139417092,0.271,0.262,1,COCH+ Fb,SNX1
XIAP3,0.000231102469725087,0.012530525,0.256,0.316,1,COCH+ Fb,XIAP
RICTOR4,0.000231897819833018,0.034625311,0.149,0.188,1,COCH+ Fb,RICTOR
DNAJC213,0.000233146508185144,0.15111873,0.317,0.314,1,COCH+ Fb,DNAJC21
SMARCA13,0.000234755974852372,0.204125775,0.374,0.384,1,COCH+ Fb,SMARCA1
DMXL13,0.000238224871191674,0.104893139,0.175,0.157,1,COCH+ Fb,DMXL1
TMEM803,0.000240240730757437,0.080729097,0.125,0.107,1,COCH+ Fb,TMEM80
RNF2202,0.000243401516213241,0.016539357,0.113,0.145,1,COCH+ Fb,RNF220
SLC2A134,0.000250480001618406,0.017118315,0.106,0.137,1,COCH+ Fb,SLC2A13
RNF403,0.000252033888839599,0.019277269,0.114,0.147,1,COCH+ Fb,RNF40
CSNK2B2,0.000259479118315209,0.085449876,0.484,0.49,1,COCH+ Fb,CSNK2B
BUD234,0.000260551740233879,0.136402238,0.306,0.304,1,COCH+ Fb,BUD23
NECAP15,0.000261021661033152,0.096364689,0.165,0.148,1,COCH+ Fb,NECAP1
BANF14,0.000263563173892235,0.064711923,0.531,0.53,1,COCH+ Fb,BANF1
HIPK34,0.000265310697014824,0.127323995,0.336,0.33,1,COCH+ Fb,HIPK3
SOCS43,0.000268324719018637,0.102608565,0.163,0.146,1,COCH+ Fb,SOCS4
MLLT64,0.000271164120156464,0.138772987,0.212,0.197,1,COCH+ Fb,MLLT6
RNF1034,0.000272546097618478,0.101813648,0.195,0.178,1,COCH+ Fb,RNF103
MDP13,0.000272592809061664,0.014174459,0.105,0.135,1,COCH+ Fb,MDP1
C18orf213,0.000272959617956563,0.035633976,0.086,0.114,1,COCH+ Fb,C18orf21
KLHL54,0.000273348690371179,0.03003597,0.115,0.148,1,COCH+ Fb,KLHL5
STX103,0.000273402813434725,0.112057175,0.264,0.256,1,COCH+ Fb,STX10
RIOK34,0.000273663986417472,0.126314551,0.32,0.315,1,COCH+ Fb,RIOK3
PBRM14,0.000273806832539702,0.023278761,0.244,0.3,1,COCH+ Fb,PBRM1
SLC35A12,0.000280636163208498,0.099988995,0.112,0.095,1,COCH+ Fb,SLC35A1
