genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FARS2,0.00540039785125804,-0.031243475,0.154,0.175,1
STRN,0.00545931583072343,0.0358476990919463,0.174,0.165,1
CAPN7,0.00550732689737732,0.018121064957373,0.184,0.173,1
MRPL51,0.00553416392218968,-0.09196803,0.737,0.682,1
RNF146,0.00562992251858126,-0.0468396,0.229,0.261,1
PRRG1,0.00566726864723308,0.0316664530610872,0.116,0.106,1
RPS27L,0.0056979828069829,-0.082427629,0.881,0.806,1
LTN1,0.0057486733620095,0.0558279298679465,0.286,0.287,1
CLK1,0.00579330871061733,-0.081206233,0.35,0.336,1
SLC4A7,0.00579809513008039,0.0382054906894438,0.201,0.192,1
MAP1A,0.00585296821681681,-0.097047602,0.438,0.479,1
PITPNA-AS1,0.00594369283584947,-0.067360983,0.132,0.151,1
PDPK1,0.00600064480084196,0.0386338021403995,0.21,0.204,1
BACE2,0.00600246673784231,-0.101063017,0.36,0.398,1
CNOT9,0.00600317513735401,0.0493088377429601,0.186,0.178,1
MAIP1,0.00606123910832604,0.046946491789644,0.118,0.108,1
LMF1,0.00610108034973842,0.0392752380941769,0.155,0.146,1
TMEM219,0.00612044937359637,-0.143898501,0.604,0.615,1
TRA2A,0.00623367338520733,-0.168616749,0.308,0.342,1
ATAD2B,0.00626842929194819,0.0362732971426092,0.116,0.105,1
L3MBTL2,0.00629654344511078,0.0442752585412741,0.122,0.112,1
CPLANE1,0.00633554270864797,0.0637891274655099,0.178,0.171,1
ZNF326,0.0063815596038028,0.0389422920470689,0.292,0.294,1
DNAJC4,0.0064616394739271,-0.055799407,0.31,0.35,1
TSPYL4,0.00651561073590267,0.0204437384830728,0.143,0.133,1
BMP2K,0.00664526755382318,-0.022718019,0.146,0.167,1
ELP4,0.00666236561406894,0.0439368702566984,0.124,0.115,1
RNF8,0.00685754179178623,-0.02857692,0.176,0.201,1
GPATCH2,0.00688779694924325,0.0648690277931769,0.28,0.28,1
TMEM185B,0.00697094362888367,0.0175130711990882,0.106,0.124,1
ASCC1,0.00699034490342268,0.0412577121564614,0.136,0.126,1
EXOC1,0.00703837485540812,0.0564577636630224,0.216,0.211,1
LINC02381,0.00706141769307952,0.065710115591459,0.197,0.225,1
TMCO3,0.00716040606779158,-0.077383816,0.33,0.37,1
TBC1D9,0.00722996385686118,0.04909621,0.123,0.114,1
STK32C,0.00724141044798638,-0.020055309,0.128,0.147,1
TIA1,0.00729130279776886,0.0683989138633385,0.282,0.286,1
KIZ,0.00745002807892755,0.0251757476058435,0.147,0.172,1
COQ10B,0.0074636034517453,-0.015141641,0.346,0.348,1
IFI27L1,0.00747342528724055,-0.032896229,0.232,0.266,1
ARHGAP5,0.00764159758578265,-0.037703523,0.306,0.347,1
SIRT1,0.00777422784681825,-0.039050742,0.11,0.127,1
POLR3D,0.00783910177974458,-0.130429297,0.26,0.291,1
BORCS5,0.00791531587761783,0.0179341960664014,0.101,0.091,1
PCNA,0.00800513790336422,0.0653789324046926,0.289,0.294,1
UBAP1,0.00811097848481295,0.0321462332114512,0.174,0.165,1
TMEM38B,0.00818390670927236,0.0453540337827102,0.126,0.117,1
MIA3,0.00826860809300957,-0.109419267,0.396,0.436,1
CLCC1,0.00830609281774061,0.0294371507179664,0.153,0.143,1
CSTF3,0.00839035331765384,0.0171651571865695,0.176,0.167,1
NME7,0.00847789245933872,-0.026941824,0.145,0.134,1
FNDC10,0.00852285519318911,-0.024886988,0.092,0.106,1
NUDT8,0.00877220028904782,-0.01727947,0.189,0.178,1
POLR3C,0.00877349303887296,0.0542436332315529,0.124,0.115,1
USP32,0.0090138098554464,0.0590704085802344,0.133,0.125,1
MYO19,0.00919553805673709,0.0269951804968828,0.156,0.147,1
AKR7A2,0.00930801312074082,-0.238981555,0.486,0.508,1
XPC,0.00932629111857391,0.0483256114242344,0.233,0.23,1
PLEKHH2,0.00939388371336927,0.0902909348722563,0.228,0.227,1
PPHLN1,0.00941784598476434,-0.04780322,0.333,0.368,1
SPATA20,0.0094768751669043,0.0156902151527869,0.181,0.208,1
UQCRQ,0.00951604816956739,-0.209592658,0.817,0.792,1
CEP85L,0.0095276150642822,0.0603599781487816,0.165,0.157,1
WDR11,0.00985257913242448,0.0328358459359567,0.206,0.2,1
STIM2,0.0100005478821258,0.0365146261430309,0.12,0.111,1
VAMP7,0.010038300454457,0.0297836994816292,0.211,0.205,1
TOR3A,0.0100789598933364,0.0247753068723565,0.185,0.178,1
NAA30,0.010336219724045,0.0272262283280255,0.122,0.112,1
TRNT1,0.0105827116596162,0.0167282115484965,0.186,0.179,1
NAA38,0.0108013001392202,-0.075132127,0.589,0.601,1
KCTD10,0.0108900218885216,0.0513558154903911,0.349,0.354,1
PEX13,0.0109441843198118,-0.017111752,0.123,0.14,1
SRBD1,0.0109964120725388,-0.023730731,0.113,0.13,1
DENR,0.0111201745341771,-0.11580341,0.351,0.39,1
CENPC,0.01119241382599,0.062340798017887,0.209,0.207,1
PRPSAP2,0.0113270347943516,0.0317470251263728,0.116,0.106,1
MINDY2,0.0116789729375239,-0.026994803,0.301,0.335,1
NOL10,0.0117193581110335,0.0568123939081381,0.179,0.174,1
LRIG1,0.0117675491033638,0.0489394157809148,0.176,0.169,1
MAGEF1,0.0118144636972583,-0.062318471,0.314,0.353,1
DAAM1,0.0118885861368061,0.0440646166892293,0.376,0.388,1
ABRAXAS2,0.0119111699292181,0.0251560740049397,0.134,0.125,1
KLHL7,0.0119477732410985,0.0163786010513149,0.151,0.142,1
MIER2,0.0119614408575505,0.0119031798218321,0.119,0.108,1
GDF11,0.0120950580355627,0.0275818907568469,0.195,0.188,1
APPL1,0.0121125673671313,-0.025845522,0.4,0.408,1
IREB2,0.0122169936260856,0.0679863208908643,0.231,0.228,1
MSL1,0.0122679177638454,0.0200266272560334,0.314,0.317,1
VEGFB,0.0123032954707434,-0.309349293,0.61,0.593,1
ACLY,0.0123119487300409,-0.054656651,0.303,0.337,1
NDUFB2,0.0123702192596829,-0.058902616,0.832,0.782,1
VPS35L,0.0124062905460511,0.0499510572777386,0.172,0.165,1
