,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Clpb2,4.81556939651157e-18,0.0340310307411824,0.117,0.069,9.59309579479069e-14,Fibroblast,Clpb
Ubap2l2,5.53691987065822e-18,0.0263978080979343,0.605,0.454,1.10300980743382e-13,Fibroblast,Ubap2l
Slc5a33,5.83912891367896e-18,0.0222202516228768,0.36,0.263,1.16321287089399e-13,Fibroblast,Slc5a3
Neat12,5.93100409941779e-18,0.102828769654465,0.861,0.754,1.18151532664502e-13,Fibroblast,Neat1
Thoc11,6.489461848882e-18,0.0293629439005567,0.145,0.091,1.29276569491578e-13,Fibroblast,Thoc1
Usp51,7.04792323723815e-18,0.0129870842304722,0.184,0.12,1.40401678809021e-13,Fibroblast,Usp5
Gcn1l13,7.5354492265783e-18,0.0191646315334688,0.202,0.134,1.50113684042666e-13,Fibroblast,Gcn1l1
Psmd5,8.4614335246599e-18,0.030409609693085,0.106,0.061,1.6856021724475e-13,Fibroblast,Psmd5
Nedd83,9.18282025950559e-18,0.0136735696688617,0.665,0.504,1.82930962389611e-13,Fibroblast,Nedd8
Eif3h2,9.63641858012539e-18,0.0178491506500014,0.666,0.516,1.91967094534678e-13,Fibroblast,Eif3h
Snta12,1.0526874169882e-17,0.0119503131105247,0.109,0.064,2.09705860338219e-13,Fibroblast,Snta1
Tead32,1.05396270307064e-17,0.0211691256762412,0.153,0.096,2.09959910078701e-13,Fibroblast,Tead3
Rc3h11,1.23707191164944e-17,0.0194395039304722,0.524,0.394,2.46437095519686e-13,Fibroblast,Rc3h1
Lrrcc12,1.24435280274478e-17,0.027949121646846,0.118,0.071,2.47887521834787e-13,Fibroblast,Lrrcc1
Vps532,1.41134107426275e-17,0.0182806720771659,0.171,0.111,2.81153255403882e-13,Fibroblast,Vps53
Atrip1,1.46607287278898e-17,0.0320431687899084,0.104,0.06,2.92056376988293e-13,Fibroblast,Atrip
Cherp2,1.73327836978414e-17,0.0314553831949276,0.187,0.124,3.45286384044699e-13,Fibroblast,Cherp
Pknox12,1.91346754597142e-17,0.0302078532803463,0.184,0.122,3.81181869832966e-13,Fibroblast,Pknox1
Ccdc431,2.05953829015771e-17,0.0166548416695929,0.112,0.066,4.10280622782317e-13,Fibroblast,Ccdc43
Zfand2b1,2.08897631370064e-17,0.0111218107706561,0.159,0.102,4.16144971452304e-13,Fibroblast,Zfand2b
Tmed41,2.15126181382523e-17,0.0113765615058975,0.196,0.129,4.28552865932125e-13,Fibroblast,Tmed4
Bzw11,2.29458301898565e-17,0.0540065494959718,0.701,0.552,4.57103883212131e-13,Fibroblast,Bzw1
Slc35c21,2.34710035798357e-17,0.0131456957086214,0.106,0.062,4.67565862313908e-13,Fibroblast,Slc35c2
Wdr182,2.39119250913347e-17,0.0264841156212754,0.158,0.101,4.76349459744478e-13,Fibroblast,Wdr18
